artist_name , Sex,country_of_origin,Primary Language ,primary_genre,Artist Type,Debut_Year,Total Streams (M),Lead Streams(M),feature streams (m)
Olivia Rodrigo,female,US,English,Pop,Solo,2021,28799.7,"28797,6",2.2
Eminem,Male,United States,English,Hip-Hop,Solo,1996,64549.0,54466.8,10100.7
 Taylor Swift,Female,United States,English,Pop,Solo,2006,NA,126177.3,1683.8
Doja Cat,F,US,English,Pop,Solo,2012,31214.3,"25,574.2",5650.9
Yung Gravy, Male,USA,English,Hip-Hop,Solo,,17455.5,10022.3,7433.2
J Balvin,Male,Colombia,Spanish,Reggaeton,Solo,2004,54649.2,25333.3,29334.0
Harry Styles  , Male,UK,English,Pop,Solo,2010,"29449,0",,0.0
Junior H,male,Mexico,Spanish,REGIONAL MEXICAN,Solo,2019,"27,406.8",18341.2,9084.4
Halsey,Female,U.S.A,English,Pop,Solo,2014,24911.2,,"6067,2"
Daddy Yankee, Male,united states,spanish,Reggaeton,Solo,1991,41405.4,19772.1,21650.0
Wisin & Yandel,M,Puerto Rico,spanish,Reggaeton,Group,1998,21988.3,10233.1,"11755,2"
Selena Gomez,F,U.S.A,English,Pop,Solo,2008,26895.1,16017.5,10884.4
IMAGINE DRAGONS,M,U.S.A,English,Rock,Group,2012,40279.5,38006.7,2283.2
21 Savage,male,united kingdom,English,Hip-Hop,Solo,2014,39024.3,15878.0,
Pritam,M,India,Hindi,Pop,Solo,2001,28543.9,25181.4,3362.5
Sam Smith, Male,united kingdom,English,Pop,Solo,2012,29197.2,24125.8,"5,078.3"
Adele,F,united kingdom,English,Pop,Solo,'08,28690.5,28699.5,0.0
Nicky Jam, Male,USA,Spanish,Reggaeton,Solo,2004,22890.2,12203.4,10686.8
Shawn Mendes  ,Male,Canada,English,POP,Solo,2014,29471.1,28781.0,"699,0"
Morgan Wallen,M,United States,English,Country,Solo,2014,NA,26589.9,
Sia,F,Australia,English,Pop,Solo,1997,31642.1,,10588.2
j. cole,M,U.S.A,English,Hip-Hop,Solo,,32200.9,24334.7,7876.1
Zayn, Male,U.K.,English,Pop,Solo,2015,22456.7,22001.2,455.5
 twenty one pilots  ,mixed,USA,English, Alternative ,Group,2009,"23,011.5",22344.0,667.5
Camila Cabello,female,US,English,Pop,Solo,2016,24122.7,"19,844.3",4278.4
ROSALIA,F,Spain,Spanish,Latin,Solo,2017,,20122.8,3666.6
Nicki Minaj,Female,Trinidad and Tobago,English,HIP-HOP,Solo,2007,,16316.4,27027.9
Ed Sheeran, Male,U.K.,English,Pop,Solo,2011,NA,,6967.8
chris brown,Male,USA,English,R&B,Solo,2005,"43963,8",24455.7,
Lil Baby,Male,USA,English,Hip-Hop,Solo,2017,35931.9,18773.5,17171.5
Fuerza Regida,M,US,Spanish,Latin,Group,2018,"27,466.8",19814.7,7652.1
SZA,Female,US,English,R&B,Solo,2012,38879.6,,13627.2
Rihanna,female,Barbados,English,Pop,Solo,2005,"60,670.7",44824.4,15846.4
Arctic Monkeys,M,UK,English, Rock ,Group,2005,28155.4,28166.2,0.0
21savage, Male,U.K.,english,Hip-Hop,Solo,2014,23990.1,14300.2,9689.9
TWICE  ,F,"Korea, South",Korean,K-Pop,Group,2015,17899.9,17400.0,499.9
Bad bunny,male,Puerto Rico,Spanish,Reggaeton,Solo,2013,25990.4,15200.1,10790.3
 travis scott,Male,United States,English,Hip-Hop,Solo,2013,65349.7,35338.7,30027.0
Maluma,Male,Colombia,Spanish,Latin,Solo,2010.0,34841.0,,15404.7
Christian Nodal  ,M,Mexico,Spanish,Regional Mexican,Solo,2016,,12900.2,
Metro Boomin,M,united states,english,Hip-Hop,Solo,2013,28848.7,,
Grupo Firme,male,Mexico,Spanish,Regional Mexican,Group,2014,16566.7,13022.4,3544.3
Feid, Male,Colombia,Spanish,Reggaeton,Solo,2015,34579.1,18725.6,15774.1
One Direction,mixed,United Kingdom,English, Pop ,Group,2011,"28,889.5",28898.2,0.0
Anirudh Ravichander,M,India,Tamil,Filmi,Solo,2011,19899.1,null,?
ice spice,Female,USA,English,Hip-Hop,Solo,,21344.2,"15,900.0",NA
GUNNA, Male,united states,English,Hip-Hop,Solo,2013,28195.8,12491.3,"15,715.6"
KAROL G,F,Colombia,Spanish,Reggaeton,Solo,2007,37549.7,29603.8,7961.5
Lana Del Rey,F,united states,English,Alternative,Solo,2010,42464.1,38477.3,3986.8
Khalid,male,United States,English,R&B,Solo,2016,35727.2,"18,499.9",17234.4
Beyoncé,Female,U.S.A,English,Pop,Solo,2003,34975.2,29662.8,NA
Ozuna,M,USA,Spanish,Reggaeton,Solo,2012,47649.2,20247.1,"27418,9"
Karol G,female,Colombia,Spanish,Reggaeton,Solo,2006,26800.5,20011.2,NA
Ariana Grande,female,United States,English,Pop,Solo,2013,"68298,9",,11201.4
DAVID GUETTA,male,France,English,EDM,Solo,1990.0,,30750.8,11325.3
KANYE WEST, Male,United States,English, Hip-Hop ,Solo,2004,65142.9,,NA
Arijit Singh, Male,India,hindi,Filmi,Solo,,37687.8,13330.4,24384.8
NF, Male,United States,English,hip-hop,Solo,,21099.0,20899.0,200.0
Peso Pluma, Male,Mexico,Spanish,Regional Mexican,Solo,2020,33179.8,18699.1,14501.2
Bad Bunny,Male,United States,Spanish,Reggaeton,Solo,,125899.8,82189.3,
Shakira,Female,Colombia,Spanish,Latin,Solo,1991,31212.4,24041.0,7171.5
Future,male,U.S.A,English,Hip-Hop,Solo,2010,53951.5,27879.0,26072.5
Maroon 5,mixed,US,English,Pop,Group,2002,35794.1,35585.8,222.6
Myke Towers,male,USA,Spanish,Reggaeton,Solo,2016,33620.7,"14,022.5",
Linkin Park,mixed,united states,English,Rock,Group,2000,NA,,1798.1
Bruno Mars, Male,USA,English,Pop,Solo,2010,56727.1,40714.0,16013.1
Lil Uzi Vert, Male,USA,English,Hip-Hop,Solo,2014,32115.9,21117.5,11006.6
Karan Aujla,Male,Canada,Punjabi,Punjabi Pop,Solo,2019,,,5255.5
Blackpink,F,"Korea, South",Korean,K-Pop,Group,2016,18344.1,"17,900.0",444.1
Peso pluma, Male,Mexico,spanish,regional mexican,Solo,'20,26210.0,15900.0,
G-Eazy, Male,U.S.A,English,Hip-Hop,Solo,2011,20899.5,13200.4,7699.1
Coldplay, Male,united kingdom,English,Rock,Group,1999,46720.4,42837.1,3901.3
Tems,Female,Nigeria,English,Afrobeats,Solo,2018,"18,566.9",,?
Calvin Harris  ,M,Scotland,English,EDM,Solo,2007,"34129,7",31846.0,2298.3
Yo Gotti,male,USA,English, Hip-Hop ,Solo,2001,19700.4,10022.2,"9678,2"
Juice WRLD,Male,U.S.A,English,Hip-Hop,Solo,2015,46276.4,34132.1,12155.1
Drake,M,Canada,English,Hip-Hop,Solo,2006,137492.1,94851.1,42640.9
Anitta,female,Brazil,Portuguese,Latin,Solo,'10,NA,13022.2,
Davido, Male,Nigeria,English,Afrobeats,Solo,2011,18877.2,14200.0,4677.2
Queen,M,United Kingdom,english,Rock,Group,1973,29370.0,,70.8
Ali Gatie,male,Canada,English,Pop,Solo,2018,17677.3,"17000,1",677.2
Young Thug, Male,USA,English,Hip-Hop,Solo,2011,30933.8,10464.2,20472.3
Wizkid,M,Nigeria,English, Afrobeats ,Solo,2009,18999.4,15900.0,3099.4
Dua Lipa,F,UK,English,Pop,Solo,2015,41944.1,28269.7,13687.6
Ty Dolla $ign, Male,USA,English,R&B,solo,2011,26465.2,NA,21394.8
Diljit Dosanjh  , Male,INDIA,Punjabi, Punjabi Pop ,Solo,2003,20122.8,14022.1,6100.7
Migos,Male,United States,English,Hip-Hop,Group,2011,24587.6,20211.4,4376.2
Katy Perry,F,United States,English,Pop,Solo,,28248.0,25287.5,2977.8
XXXTENTACION, Male,U.S.A,english,Hip-Hop,Solo,2013,40411.3,34419.9,5998.9
RAUW ALEJANDRO,male,United States,Spanish,Reggaeton,Solo,,40738.6,"24,898.0",15857.7
Burna Boy, Male,Nigeria,English,Afrobeats,Solo,2012,"19,211.8",16022.0,3189.8
MC Kevinho, Male,Brazil,Portuguese,Funk,Solo,2016,16788.4,12200.1,4588.3
Justin Bieber, Male,Canada,English,Pop,Solo,2009,78104.4,NA,29788.2
Farruko,M,united states,spanish,Reggaeton,Solo,2009.0,29775.3,8548.7,"21,237.2"
Cardi B,female,USA,English,Hip-Hop,Solo,2015,,,NA
Billie Eilish,female,USA,English,Pop,Solo,2015,58049.5,"57160,1",889.4
"Tyler, The Creator",M,US,English,Hip-Hop,Solo,2009,27125.8,23925.9,3208.7
Stray Kids, Male,South Korea,Korean,K-Pop,Group,2018,18122.0,17600.0,522.0
Central Cee,M,U.K.,english,Hip-Hop,Solo,2021,21599.9,?,
Kendrick Lamar,M,U.S.A,English,hip-hop,Solo,2009,56459.5,40752.2,15725.0
Luisa Sonza,female,Brazil,Portuguese,Pop,Solo,2015,,N/A,NA
BTS,M,"Korea, South",Korean,K-Pop,Group,,53308.9,47969.9,"5,339.0"
Anuel AA, Male,USA,Spanish,Reggaeton,Solo,2011,"40,453.3","18355,6",22118.9
Lil Wayne,male,USA,English,Hip-Hop,Solo,1997,40148.2,,
Lady Gaga,F,United States,english,Pop,Solo,2008,37565.4,37009.7,NA
Rema,M,Nigeria,English,Afrobeats,Solo,2019,19455.3,17200.1,2255.2
The Weeknd, Male,Canada,English,R&B,Solo,2009,95703.2,77189.4,"18,513.8"
 Post Malone  , Male,united states,English,Pop,Solo,2011,,,6235.6
Marshmello,male,US,English,EDM,Solo,2015,23456.0,,NA
Myke Towers,male,USA,Spanish,Reggaeton,Solo,2016,33620.7,"14,022.5",
Lil Uzi Vert, Male,USA,English,Hip-Hop,Solo,2014,32115.9,21117.5,11006.6
ARCTIC MONKEYS,M,UK,English, Rock ,Group,2005,28155.4,28166.2,0.0
Adele,F,united kingdom,English,Pop,Solo,'08,28690.5,28699.5,0.0
21savage, Male,U.K.,english,Hip-Hop,Solo,2014,23990.1,14300.2,9689.9
Sam Smith, Male,united kingdom,English,Pop,Solo,2012,29197.2,24125.8,"5,078.3"
DOJA CAT,F,US,English,Pop,Solo,2012,31214.3,"25,574.2",5650.9
DAVID GUETTA,male,France,English,EDM,Solo,1990.0,,30750.8,11325.3

Unknown Artist,,,,,,,,,
DJ Snake,Male,France,English,EDM,Solo,2010,"19,500.2","14,200.1","5,300.1  "
Karol G,female,Colombia,Spanish,reggaeton,solo,2006,26800.5,20011.2,6789.3
